id,name,age,nationality,overall,club
41,Iniesta,33,Spain,87,FC Barcelona
202126,H. Kane,23,England,86,Tottenham Hotspur
198710,J. Rodríguez,25,Colombia,86,FC Bayern Munich
197781,Isco,25,Spain,86,Real Madrid CF
197445,D. Alaba,25,Austria,86,FC Bayern Munich
192505,R. Lukaku,24,Belgium,86,Manchester United
191043,Alex Sandro,26,Brazil,86,Juventus
189596,T. Müller,27,Germany,86,FC Bayern Munich
189511,Sergio Busquets,28,Spain,86,FC Barcelona
189242,Coutinho,25,Brazil,86,Liverpool
188350,M. Reus,28,Germany,86,Borussia Dortmund
184087,T. Alderweireld,28,Belgium,86,Tottenham Hotspur
179944,David Luiz,30,Brazil,86,Chelsea
179844,Diego Costa,28,Spain,86,Chelsea
178518,R. Nainggolan,29,Belgium,86,Roma
177610,Javi Martínez,28,Spain,86,FC Bayern Munich
175943,D. Mertens,30,Belgium,86,Napoli
172879,Sokratis,29,Greece,86,Borussia Dortmund
168609,Miranda,32,Brazil,86,Inter
165153,K. Benzema,29,France,86,Real Madrid CF
162895,Cesc Fàbregas,30,Spain,86,Chelsea
156616,F. Ribéry,34,France,86,FC Bayern Munich
120533,Pepe,34,Portugal,86,Beşiktaş JK
48940,P. Čech,35,Czech Republic,86,Arsenal
208418,Y. Carrasco,23,Belgium,85,Atlético Madrid
201535,R. Varane,24,France,85,Real Madrid CF
200145,Casemiro,25,Brazil,85,Real Madrid CF
198219,L. Insigne,26,Italy,85,Napoli
193301,A. Lacazette,26,France,85,Arsenal
193041,K. Navas,30,Costa Rica,85,Real Madrid CF
192883,H. Mkhitaryan,28,Armenia,85,Manchester United
192593,D. Subašić,32,Croatia,85,AS Monaco
192563,B. Leno,25,Germany,85,Bayer 04 Leverkusen
192448,M. ter Stegen,25,Germany,85,FC Barcelona
190547,K. Glik,29,Poland,85,AS Monaco
189332,Jordi Alba,28,Spain,85,FC Barcelona
186942,I. Gündoğan,26,Germany,85,Manchester City
184432,Azpilicueta,27,Spain,85,Chelsea
183898,A. Di María,29,Argentina,85,Paris Saint-Germain
180206,M. Pjanić,27,Bosnia Herzegovina,85,Juventus
173210,C. Marchisio,31,Italy,85,Juventus
172871,J. Vertonghen,30,Belgium,85,Tottenham Hotspur
170890,B. Matuidi,30,France,85,Juventus
167628,S. Ruffier,30,France,85,AS Saint-Étienne
164169,Filipe Luís,31,Brazil,85,Atlético Madrid
139720,V. Kompany,31,Belgium,85,Manchester City
137186,A. Barzagli,36,Italy,85,Juventus
225508,E. Bailly,23,Ivory Coast,84,Manchester United
220834,Marco Asensio,21,Spain,84,Real Madrid CF
218667,Bernardo Silva,22,Portugal,84,Manchester City
212218,A. Laporte,23,France,84,Athletic Club de Bilbao
211117,D. Alli,21,England,84,Tottenham Hotspur
208722,S. Mané,25,Senegal,84,Liverpool
204963,Carvajal,25,Spain,84,Real Madrid CF
202166,J. Draxler,23,Germany,84,Paris Saint-Germain
201399,M. Icardi,24,Argentina,84,Inter
201153,Morata,24,Spain,84,Chelsea
201024,K. Koulibaly,26,Senegal,84,Napoli
200316,T. Horn,24,Germany,84,1. FC Köln
193747,Koke,25,Spain,84,Atlético Madrid
192774,K. Manolas,26,Greece,84,Roma
192227,S. Mustafi,25,Germany,84,Arsenal
191740,Ander Herrera,27,Spain,84,Manchester United
189712,K. Strootman,27,Netherlands,84,Roma
189505,Pedro,29,Spain,84,Chelsea
189117,R. Bürki,26,Switzerland,84,Borussia Dortmund
184120,Bruno,33,Spain,84,Villarreal CF
181458,I. Perišić,28,Croatia,84,Inter
180930,E. Džeko,31,Bosnia Herzegovina,84,Roma
180403,Willian,28,Brazil,84,Chelsea
179846,S. Khedira,30,Germany,84,Juventus
179783,R. Fährmann,28,Germany,84,FC Schalke 04
178750,Sergio Asenjo,28,Spain,84,Villarreal CF
178088,Juan Mata,29,Spain,84,Manchester United
177509,M. Benatia,30,Morocco,84,Juventus
177388,D. Payet,30,France,84,Olympique de Marseille
167397,Falcao,31,Colombia,84,AS Monaco
165229,L. Koscielny,31,France,84,Arsenal
164468,G. Cahill,31,England,84,Chelsea
146530,Dani Alves,34,Brazil,84,Paris Saint-Germain
143076,A. Gómez,29,Argentina,84,Atalanta
106231,Aduriz,36,Spain,84,Athletic Club de Bilbao
231747,K. Mbappé,18,France,83,Paris Saint-Germain
231443,O. Dembélé,20,France,83,FC Barcelona
220971,N. Keïta,22,Guinea,83,RB Leipzig
216460,J. Giménez,22,Uruguay,83,Atlético Madrid
215316,G. Rulli,25,Argentina,83,Real Sociedad
213565,T. Lemar,21,France,83,AS Monaco
212814,João Mário,24,Portugal,83,Inter
212190,N. Süle,21,Germany,83,FC Bayern Munich
210257,Ederson,23,Brazil,83,Manchester City
209499,Fabinho,23,Brazil,83,AS Monaco
209331,M. Salah,25,Egypt,83,Liverpool
208596,A. Belotti,23,Italy,83,Torino
208448,E. Forsberg,25,Sweden,83,RB Leipzig
207865,Marquinhos,23,Brazil,83,Paris Saint-Germain
207566,William Carvalho,25,Portugal,83,Sporting CP
205600,S. Umtiti,23,France,83,FC Barcelona
204485,R. Mahrez,26,Algeria,83,Leicester City
203376,V. van Dijk,25,Netherlands,83,Southampton
201942,Roberto Firmino,25,Brazil,83,Liverpool
200888,Danilo Pereira,25,Portugal,83,FC Porto
199715,Vitolo,27,Spain,83,UD Las Palmas
199482,A. Lopes,26,Portugal,83,Olympique Lyonnais
198176,S. de Vrij,25,Netherlands,83,Lazio
198009,M. Perin,24,Italy,83,Genoa
197061,J. Matip,25,Cameroon,83,Liverpool
193474,I. Gueye,27,Senegal,83,Everton
192629,Iago Aspas,29,Spain,83,RC Celta de Vigo
192366,N. Otamendi,29,Argentina,83,Manchester City
191202,N. Matić,28,Serbia,83,Manchester United
191180,J. Pastore,28,Argentina,83,Paris Saint-Germain
189513,Parejo,28,Spain,83,Valencia CF
189358,S. Kagawa,28,Japan,83,Borussia Dortmund
189125,G. Bonaventura,27,Italy,83,Milan
189068,B. Dost,28,Netherlands,83,Sporting CP
188377,K. Walker,27,England,83,Manchester City
188152,Oscar,25,Brazil,83,NA
187936,S. N'Zonzi,28,France,83,Sevilla FC
186547,M. Musacchio,26,Argentina,83,Milan
185239,O. Toprak,27,Turkey,83,Borussia Dortmund
185020,José Callejón,30,Spain,83,Napoli
184826,Adrien Silva,28,Portugal,83,NA
184431,S. Giovinco,30,Italy,83,Toronto FC
184144,N. Gaitán,29,Argentina,83,Atlético Madrid
181783,M. Mandžukić,31,Croatia,83,Juventus
180819,A. Lallana,29,England,83,Liverpool
179784,B. Höwedes,29,Germany,83,Juventus
178562,E. Banega,29,Argentina,83,Sevilla FC
178005,Rui Patrício,29,Portugal,83,Sporting CP
177683,Y. Sommer,28,Switzerland,83,Borussia Mönchengladbach
177358,M. Schneiderlin,27,France,83,Everton
176769,Jonas,33,Brazil,83,SL Benfica
176600,K. Gameiro,30,France,83,Atlético Madrid
173771,L. Piszczek,32,Poland,83,Borussia Dortmund
170481,E. Garay,30,Argentina,83,Valencia CF
167905,A. Valencia,31,Ecuador,83,Manchester United
163587,K. Schmeichel,30,Denmark,83,Leicester City
162240,M. Dembélé,29,Belgium,83,Tottenham Hotspur
161956,Borja Valero,32,Spain,83,Inter
159147,L. Perrin,31,France,83,AS Saint-Étienne
158963,L. Biglia,31,Argentina,83,Milan
146760,Juanfran,32,Spain,83,Atlético Madrid
146748,Diego López,35,Spain,83,RCD Espanyol
146562,Santi Cazorla,32,Spain,83,Arsenal
142754,J. Mascherano,33,Argentina,83,FC Barcelona
139869,W. Sneijder,33,Netherlands,83,OGC Nice
139068,Nani,30,Portugal,83,Lazio
53302,D. De Rossi,33,Italy,83,Roma
24630,José Reina,34,Spain,83,Napoli
20775,Quaresma,33,Portugal,83,Beşiktaş JK
20289,Y. Touré,34,Ivory Coast,83,Manchester City
5479,Casillas,36,Spain,83,FC Porto
230621,G. Donnarumma,18,Italy,82,Milan
222492,L. Sané,21,Germany,82,Manchester City
219809,T. Bakayoko,22,France,82,Chelsea
219683,C. Tolisso,22,France,82,FC Bayern Munich
217699,I. Slimani,29,Algeria,82,Leicester City
216594,N. Fekir,23,France,82,Olympique Lyonnais
216451,J. Seri,25,Ivory Coast,82,OGC Nice
215785,K. Baldé Diao,22,Senegal,82,AS Monaco
213331,J. Tah,21,Germany,82,Bayer 04 Leverkusen
212404,F. Bernardeschi,23,Italy,82,Juventus
212188,T. Werner,21,Germany,82,RB Leipzig
211575,André Gomes,23,Portugal,82,FC Barcelona
211300,A. Martial,21,France,82,Manchester United
209658,L. Goretzka,22,Germany,82,FC Schalke 04
208808,Q. Promes,25,Netherlands,82,Spartak Moscow
208618,Lucas Vázquez,26,Spain,82,Real Madrid CF
208421,Saúl,22,Spain,82,Atlético Madrid
207863,Felipe,28,Brazil,82,FC Porto
207664,C. Bacca,30,Colombia,82,Villarreal CF
207471,F. Vázquez,28,Italy,82,Sevilla FC
207410,M. Kovačić,23,Croatia,82,Real Madrid CF
206652,Sergio Rico,23,Spain,82,Sevilla FC
206545,Manu Trigueros,25,Spain,82,Villarreal CF
205452,A. Rüdiger,24,Germany,82,Chelsea
204970,F. Thauvin,24,France,82,Olympique de Marseille
204639,S. Savić,26,Montenegro,82,Atlético Madrid
204525,Iñigo Martínez,26,Spain,82,Real Sociedad
204277,Roque Mesa,28,Spain,82,Swansea City
203551,A. Florenzi,26,Italy,82,Roma
203483,D. Klaassen,24,Netherlands,82,Everton
202857,K. Bellarabi,27,Germany,82,Bayer 04 Leverkusen
202652,R. Sterling,22,England,82,Manchester City
202651,Suso,23,Spain,82,Milan
202477,Deulofeu,23,Spain,82,FC Barcelona
202335,E. Dier,23,England,82,Tottenham Hotspur
201862,M. Rojo,27,Argentina,82,Manchester United
200949,Lucas,24,Brazil,82,Paris Saint-Germain
200104,H. Son,24,Korea Republic,82,Tottenham Hotspur
199845,F. Acerbi,29,Italy,82,Sassuolo
199503,G. Xhaka,24,Switzerland,82,Arsenal
198164,Jonathan Viera,27,Spain,82,UD Las Palmas
197965,Pizzi,27,Portugal,82,SL Benfica
195093,Willian José,25,Brazil,82,Real Sociedad
193698,O. Baumann,27,Germany,82,TSG 1899 Hoffenheim
193532,G. Medel,29,Chile,82,Beşiktaş JK
193469,Víctor Ruíz,28,Spain,82,Villarreal CF
193348,X. Shaqiri,25,Switzerland,82,Stoke City
193082,J. Cuadrado,29,Colombia,82,Juventus
192387,C. Immobile,27,Italy,82,Lazio
190483,Douglas Costa,26,Brazil,82,Juventus
190456,N. Clyne,26,England,82,Liverpool
189560,Iborra,29,Spain,82,Leicester City
188943,K. Trapp,26,Germany,82,Paris Saint-Germain
188942,V. Wanyama,26,Kenya,82,Tottenham Hotspur
188803,Taison,29,Brazil,82,Shakhtar Donetsk
187754,Marlos,29,Brazil,82,Shakhtar Donetsk
187072,L. Stindl,28,Germany,82,Borussia Mönchengladbach
186627,M. Balotelli,26,Italy,82,OGC Nice
186561,A. Ramsey,26,Wales,82,Arsenal
186153,W. Szczęsny,27,Poland,82,Juventus
184484,G. Sigurðsson,27,Iceland,82,Everton
184267,Y. Brahimi,27,Algeria,82,FC Porto
184200,M. Arnautović,28,Austria,82,West Ham United
183711,J. Henderson,27,England,82,Liverpool
183574,M. Kruse,29,Germany,82,SV Werder Bremen
183497,O. Karnezis,31,Greece,82,Watford
183376,L. Fejsa,28,Serbia,82,SL Benfica
182494,F. Muslera,31,Uruguay,82,Galatasaray SK
181786,V. Ćorluka,31,Croatia,82,Lokomotiv Moscow
181291,G. Wijnaldum,26,Netherlands,82,Liverpool
179847,F. Fazio,30,Argentina,82,Roma
178509,O. Giroud,30,France,82,Arsenal
178372,B. Ivanović,33,Serbia,82,Zenit St. Petersburg
178224,J. Hernández,29,Mexico,82,West Ham United
177600,Beñat,30,Spain,82,Athletic Club de Bilbao
177457,L. Bender,28,Germany,82,Bayer 04 Leverkusen
177413,A. Witsel,28,Belgium,82,NA
174543,C. Bravo,34,Chile,82,Manchester City
172723,A. Begović,30,Bosnia Herzegovina,82,Bournemouth
171919,Naldo,34,Brazil,82,FC Schalke 04
171833,D. Sturridge,27,England,82,Liverpool
169595,D. Rose,26,England,82,Tottenham Hotspur
169416,C. Vela,28,Mexico,82,Real Sociedad
168354,E. Viviano,31,Italy,82,Sampdoria
167431,G. Castro,30,Germany,82,Borussia Dortmund
165239,S. Nasri,30,France,82,Antalyaspor
163824,A. Williams,32,Wales,82,Everton
163705,S. Mandanda,32,France,82,Olympique de Marseille
163631,L. Baines,32,England,82,Everton
163489,A. Consigli,30,Italy,82,Sassuolo
162347,João Moutinho,30,Portugal,82,AS Monaco
158121,B. Costil,29,France,82,Girondins de Bordeaux
157481,Raúl Albiol,31,Spain,82,Napoli
150724,J. Hart,30,England,82,West Ham United
150418,M. Gómez,31,Germany,82,VfL Wolfsburg
144622,Raffael,32,Brazil,82,Borussia Mönchengladbach
143745,A. Turan,30,Turkey,82,FC Barcelona
135507,Fernandinho,32,Brazil,82,Manchester City
113422,David Villa,35,Spain,82,New York City Football Club
108080,S. Lichtsteiner,33,Switzerland,82,Juventus
104389,R. Jarstein,32,Norway,82,Hertha BSC Berlin
230666,Gabriel Jesus,20,Brazil,81,Manchester City
227928,Nélson Semedo,23,Portugal,81,FC Barcelona
227055,Gelson Martins,22,Portugal,81,Sporting CP
222737,Malcom,20,Brazil,81,Girondins de Bordeaux
222028,J. Weigl,21,Germany,81,Borussia Dortmund
220793,D. Sánchez,21,Colombia,81,Tottenham Hotspur
216354,A. Kramarić,26,Croatia,81,TSG 1899 Hoffenheim
216352,M. Brozović,24,Croatia,81,Inter
216201,Williams,23,Spain,81,Athletic Club de Bilbao
216194,Dani García,27,Spain,81,SD Eibar
213661,A. Christensen,21,Denmark,81,Chelsea
212622,J. Kimmich,22,Germany,81,FC Bayern Munich
211368,Bruma,22,Portugal,81,RB Leipzig
210935,D. Berardi,22,Italy,81,Sassuolo
210896,M. Sanson,22,France,81,Olympique de Marseille
210008,A. Rabiot,22,France,81,Paris Saint-Germain
209889,R. Guerreiro,23,Portugal,81,Borussia Dortmund
208830,J. Vardy,30,England,81,Leicester City
208670,H. Ziyech,24,Morocco,81,Ajax
207599,M. Keane,24,England,81,Everton
205498,Jorginho,25,Italy,81,Napoli
203747,Héctor Bellerín,22,Spain,81,Arsenal
203042,J. Butland,24,England,81,Stoke City
202685,S. Zaza,26,Italy,81,Valencia CF
202371,T. Meunier,25,Belgium,81,Paris Saint-Germain
201995,Felipe Anderson,24,Brazil,81,Lazio
201400,Rafinha,24,Brazil,81,FC Barcelona
200724,Nacho Fernández,27,Spain,81,Real Madrid CF
199987,J. Cillessen,28,Netherlands,81,FC Barcelona
199564,Sergi Roberto,25,Spain,81,FC Barcelona
199451,W. Ben Yedder,26,France,81,Sevilla FC
199354,Lucas Pérez,28,Spain,81,RC Deportivo de La Coruña
199189,R. Barkley,23,England,81,Everton
198951,C. Bakambu,26,DR Congo,81,Villarreal CF
198717,W. Zaha,24,Ivory Coast,81,Crystal Palace
198141,Bartra,26,Spain,81,Borussia Dortmund
197853,S. Aurier,24,Ivory Coast,81,Tottenham Hotspur
197655,S. Coates,26,Uruguay,81,Sporting CP
197242,G. Krychowiak,27,Poland,81,West Bromwich Albion
195365,K. Kampl,26,Slovenia,81,RB Leipzig
195086,D. Lovren,27,Croatia,81,Liverpool
194794,A. Yarmolenko,27,Ukraine,81,Borussia Dortmund
193738,Y. Belhanda,27,Morocco,81,Galatasaray SK
193525,Mário Fernandes,26,Russia,81,CSKA Moscow
193352,R. Rodríguez,24,Switzerland,81,Milan
193165,J. Corona,24,Mexico,81,FC Porto
192789,Mario Gaspar,26,Spain,81,Villarreal CF
192638,Marcos Alonso,26,Spain,81,Chelsea
192318,M. Götze,25,Germany,81,Borussia Dortmund
190941,L. Hrádecký,27,Finland,81,Eintracht Frankfurt
190584,Illarramendi,27,Spain,81,Real Sociedad
190149,De Marcos,28,Spain,81,Athletic Club de Bilbao
189881,C. Smalling,27,England,81,Manchester United
189574,Iturraspe,28,Spain,81,Athletic Club de Bilbao
189461,J. Wilshere,25,England,81,Arsenal
189251,S. Rudy,27,Germany,81,FC Bayern Munich
188988,M. Lanzini,24,Argentina,81,West Ham United
188388,R. Boudebouz,27,Algeria,81,Real Betis Balompié
188005,Camacho,27,Spain,81,VfL Wolfsburg
187961,Paulinho,28,Brazil,81,FC Barcelona
185431,N. Kalinić,29,Croatia,81,Milan
184942,Giuliano,27,Brazil,81,Fenerbahçe SK
184111,C. Benteke,26,Belgium,81,Crystal Palace
183900,D. Perotti,28,Argentina,81,Roma
183498,M. Parolo,32,Italy,81,Lazio
183483,K. Mitroglou,29,Greece,81,Olympique de Marseille
183285,M. Sakho,27,France,81,Crystal Palace
183280,A. Rami,31,France,81,Olympique de Marseille
181820,S. Jovetić,27,Montenegro,81,AS Monaco
180216,S. Coleman,28,Republic of Ireland,81,Everton
179645,S. Kjær,28,Denmark,81,Sevilla FC
178086,Adán,30,Spain,81,Real Betis Balompié
177326,M. Valbuena,32,France,81,Fenerbahçe SK
173426,S. Mignolet,29,Belgium,81,Liverpool
173198,D. Astori,30,Italy,81,Fiorentina
172175,K. Mirallas,29,Belgium,81,Everton
171579,Raúl García,30,Spain,81,Athletic Club de Bilbao
166706,M. Škrtel,32,Slovakia,81,Fenerbahçe SK
163264,T. Heaton,31,England,81,Burnley
161648,H. Ben Arfa,30,France,81,Paris Saint-Germain
158625,Dante,33,Brazil,81,OGC Nice
153244,A. Gignac,31,France,81,Tigres U.A.N.L.
146954,Gabi,33,Spain,81,Atlético Madrid
142780,G. Rodríguez,33,Argentina,81,San Lorenzo de Almagro
139997,D. Srna,35,Croatia,81,Shakhtar Donetsk
121944,B. Schweinsteiger,32,Germany,81,Chicago Fire Soccer Club
116494,C. Carrasso,35,France,81,Galatasaray SK
110677,Moyá,33,Spain,81,Atlético Madrid
54050,W. Rooney,31,England,81,Everton
53612,P. Mertesacker,32,Germany,81,Arsenal
49370,T. Motta,34,Italy,81,Paris Saint-Germain
49369,Fernando Torres,33,Spain,81,Atlético Madrid
9676,S. Eto'o,36,Cameroon,81,Antalyaspor
231677,M. Rashford,19,England,80,Manchester United
223848,S. Milinković-Savić,22,Serbia,80,Lazio
216393,Y. Tielemans,20,Belgium,80,AS Monaco
215792,Jemerson,24,Brazil,80,AS Monaco
213296,N. Bentaleb,22,Algeria,80,FC Schalke 04
212831,Alisson,24,Brazil,80,Roma
212462,Alex Telles,24,Brazil,80,FC Porto
212194,J. Brandt,21,Germany,80,Bayer 04 Leverkusen
211748,K. Demirbay,23,Germany,80,TSG 1899 Hoffenheim
211320,D. Rugani,22,Italy,80,Juventus
210617,Samu Castillejo,22,Spain,80,Villarreal CF
210406,P. Zieliński,23,Poland,80,Napoli
210243,Ricardo Pereira,23,Portugal,80,FC Porto
210035,Grimaldo,21,Spain,80,SL Benfica
209297,Fred,24,Brazil,80,Shakhtar Donetsk
208334,J. Hector,27,Germany,80,1. FC Köln
208333,E. Can,23,Germany,80,Liverpool
207993,S. Kolašinac,24,Bosnia Herzegovina,80,Arsenal
206585,Arrizabalaga,22,Spain,80,Athletic Club de Bilbao
206467,A. Pléa,24,France,80,OGC Nice
206413,T. Stepanenko,27,Ukraine,80,Shakhtar Donetsk
206273,O. Shatov,26,Russia,80,Zenit St. Petersburg
205976,Leo Baptistao,24,Brazil,80,RCD Espanyol
205362,M. Nastasić,24,Serbia,80,FC Schalke 04
205192,Denis Suárez,23,Spain,80,FC Barcelona
204529,M. Batshuayi,23,Belgium,80,Chelsea
204082,J. Brooks,24,United States,80,VfL Wolfsburg
203888,Eric Botteghin,29,Brazil,80,Feyenoord
203775,L. Karius,24,Germany,80,Liverpool
203486,T. Hazard,24,Belgium,80,Borussia Mönchengladbach
203280,V. Germain,27,France,80,Olympique de Marseille
201510,L. Kurzawa,24,France,80,Paris Saint-Germain
200647,J. Iličić,29,Slovenia,80,Atalanta
200610,K. Volland,24,Germany,80,Bayer 04 Leverkusen
199914,Allan,26,Brazil,80,Napoli
199827,P. Hernández,30,Chile,80,RC Celta de Vigo
199434,D. Tadić,28,Serbia,80,Southampton
199110,L. Muriel,26,Colombia,80,Sevilla FC
198950,Pablo Sarabia,25,Spain,80,Sevilla FC
198784,A. Oxlade-Chamberlain,23,England,80,Liverpool
198118,J. Guilavogui,26,France,80,VfL Wolfsburg
196934,O. Özyakup,24,Turkey,80,Beşiktaş JK
195861,Y. Rakitskyi,27,Ukraine,80,Shakhtar Donetsk
194879,Sergi Enrich,27,Spain,80,SD Eibar
194404,Neto,27,Brazil,80,Valencia CF
194229,Hugo Mallo,26,Spain,80,RC Celta de Vigo
193886,D. Didavi,27,Germany,80,VfL Wolfsburg
193361,R. Soriano,26,Italy,80,Villarreal CF
193130,A. Schürrle,26,Germany,80,Borussia Dortmund
193116,M. Gonalons,28,France,80,Roma
193061,R. Pereyra,26,Argentina,80,Watford
192641,K. Vogt,25,Germany,80,TSG 1899 Hoffenheim
192492,F. Orellana,31,Chile,80,Valencia CF
191687,Maicon,28,Brazil,80,Galatasaray SK
190972,E. Salvio,26,Argentina,80,SL Benfica
190815,D. Blind,27,Netherlands,80,Manchester United
190813,S. El Shaarawy,24,Italy,80,Roma
190717,M. Antonio,27,England,80,West Ham United
190264,Iago Falqué,27,Spain,80,Torino
189250,S. Rondón,27,Venezuela,80,West Bromwich Albion
189156,Daniel Carriço,28,Portugal,80,Sevilla FC
188802,M. Schmelzer,29,Germany,80,Borussia Dortmund
188253,J. McCarthy,26,Republic of Ireland,80,Everton
187735,A. Dzagoev,27,Russia,80,CSKA Moscow
187688,Ganso,27,Brazil,80,Sevilla FC
187491,F. Smolov,27,Russia,80,FC Krasnodar
186146,D. Welbeck,26,England,80,Arsenal
185221,Luiz Gustavo,29,Brazil,80,Olympique de Marseille
185132,Mikel San José,28,Spain,80,Athletic Club de Bilbao
184392,M. Darmian,27,Italy,80,Manchester United
184190,R. Thomas,29,France,80,Angers SCO
183909,I. Traoré,29,Guinea,80,Borussia Mönchengladbach
182002,Sidnei,27,Brazil,80,RC Deportivo de La Coruña
178416,J. Lens,29,Netherlands,80,Beşiktaş JK
178311,Eder,30,Italy,80,Inter
177644,Kiko Casilla,30,Spain,80,Real Madrid CF
177604,Nacho Monreal,31,Spain,80,Arsenal
177458,S. Bender,28,Germany,80,Bayer 04 Leverkusen
176930,M. Díaz,30,Chile,80,U.N.A.M.
176915,A. Fernández,31,Argentina,80,Atlético Madrid
176733,M. Berg,30,Sweden,80,NA
176376,I. Piatti,32,Argentina,80,Montreal Impact
176104,V. Birsa,30,Slovenia,80,Chievo Verona
175379,Pedro León,30,Spain,80,SD Eibar
173909,K. Boateng,30,Ghana,80,Eintracht Frankfurt
173521,Marcano,30,Spain,80,FC Porto
173432,H. Moreno,29,Mexico,80,Roma
173373,S. Romero,30,Argentina,80,Manchester United
173221,A. Candreva,30,Italy,80,Inter
173208,D. Criscito,30,Italy,80,Zenit St. Petersburg
172522,D. Wass,28,Denmark,80,RC Celta de Vigo
172316,Coke,30,Spain,80,FC Schalke 04
171897,A. Guardado,30,Mexico,80,Real Betis Balompié
170370,J. dos Santos,27,Mexico,80,LA Galaxy
170368,E. Lamela,25,Argentina,80,Tottenham Hotspur
169705,R. Bertrand,27,England,80,Southampton
169195,Renato Augusto,29,Brazil,80,NA
168530,Jardel,31,Brazil,80,SL Benfica
167553,V. Denisov,30,Uzbekistan,80,Lokomotiv Moscow
167514,D. Basta,32,Serbia,80,Lazio
165536,G. Cabral,31,Argentina,80,RC Celta de Vigo
165526,G. Paletta,31,Italy,80,Milan
164859,T. Walcott,28,England,80,Arsenal
164835,L. Fabiański,32,Poland,80,Swansea City
163155,B. Foster,34,England,80,West Bromwich Albion
162369,V. Ibišević,32,Bosnia Herzegovina,80,Hertha BSC Berlin
162329,K. El Ahmadi,32,Morocco,80,Feyenoord
158232,S. Kalou,31,Ivory Coast,80,Hertha BSC Berlin
157960,Manuel Fernandes,31,Portugal,80,Lokomotiv Moscow
156713,A. Granqvist,32,Sweden,80,FC Krasnodar
150516,L. Podolski,32,Germany,80,Vissel Kobe
146460,Javi Fuego,33,Spain,80,RCD Espanyol
143587,F. Belluschi,33,Argentina,80,San Lorenzo de Almagro
140293,A. Mirante,33,Italy,80,Bologna
139968,V. Enyeama,34,Nigeria,80,LOSC Lille
139668,F. Marchetti,34,Italy,80,Lazio
138449,Kaká,35,Brazil,80,Orlando City Soccer Club
138412,J. Milner,31,England,80,Liverpool
134744,A. Hutchinson,34,Canada,80,Beşiktaş JK
124635,M. Topal,31,Turkey,80,Fenerbahçe SK
112316,J. Mathieu,33,France,80,Sporting CP
111661,C. Kameni,33,Cameroon,80,Fenerbahçe SK
53914,P. Jagielka,34,England,80,Everton
52091,P. Evra,36,France,80,Olympique de Marseille
50542,J. Defoe,34,England,80,Bournemouth
48717,Júlio César,37,Brazil,80,SL Benfica
21146,M. Carrick,35,England,80,Manchester United
230977,M. Almirón,23,Paraguay,79,Atlanta United FC
230142,Oyarzabal,20,Spain,79,Real Sociedad
227476,Soares,26,Brazil,79,FC Porto
225647,M. Campaña,28,Uruguay,79,Independiente
225018,F. Andone,24,Romania,79,RC Deportivo de La Coruña
224334,M. Acuña,25,Argentina,79,Sporting CP
221660,V. Lindelöf,22,Sweden,79,Manchester United
