"","name","id"
"111","R. Bürki",189117
"112","Bruno",184120
"113","I. Perišić",181458
"114","E. Džeko",180930
"115","Willian",180403
"116","S. Khedira",179846
"117","R. Fährmann",179783
"118","Sergio Asenjo",178750
"119","Juan Mata",178088
"120","M. Benatia",177509
"121","D. Payet",177388
"122","Falcao",167397
"123","L. Koscielny",165229
"124","G. Cahill",164468
"125","Dani Alves",146530
"126","A. Gómez",143076
"127","Aduriz",106231
"128","K. Mbappé",231747
"129","O. Dembélé",231443
"130","N. Keïta",220971
"131","J. Giménez",216460
"132","G. Rulli",215316
"133","T. Lemar",213565
"134","João Mário",212814
"135","N. Süle",212190
"136","Ederson",210257
"137","Fabinho",209499
"138","M. Salah",209331
"139","A. Belotti",208596
"140","E. Forsberg",208448
"141","Marquinhos",207865
"142","William Carvalho",207566
"143","S. Umtiti",205600
"144","R. Mahrez",204485
"145","V. van Dijk",203376
"146","Roberto Firmino",201942
"147","Danilo Pereira",200888
"148","Vitolo",199715
"149","A. Lopes",199482
"150","S. de Vrij",198176
"151","M. Perin",198009
"152","J. Matip",197061
"153","I. Gueye",193474
"154","Iago Aspas",192629
"155","N. Otamendi",192366
"156","N. Matić",191202
"157","J. Pastore",191180
"158","Parejo",189513
"159","S. Kagawa",189358
"160","G. Bonaventura",189125
"161","B. Dost",189068
"162","K. Walker",188377
"163","Oscar",188152
"164","S. N'Zonzi",187936
"165","M. Musacchio",186547
"166","O. Toprak",185239
"167","José Callejón",185020
"168","Adrien Silva",184826
"169","S. Giovinco",184431
"170","N. Gaitán",184144
"171","M. Mandžukić",181783
"172","A. Lallana",180819
"173","B. Höwedes",179784
"174","E. Banega",178562
"175","Rui Patrício",178005
"176","Y. Sommer",177683
"177","M. Schneiderlin",177358
"178","Jonas",176769
"179","K. Gameiro",176600
"180","L. Piszczek",173771
"181","E. Garay",170481
"182","A. Valencia",167905
"183","K. Schmeichel",163587
"184","M. Dembélé",162240
"185","Borja Valero",161956
"186","L. Perrin",159147
"187","L. Biglia",158963
"188","Juanfran",146760
"189","Diego López",146748
"190","Santi Cazorla",146562
"191","J. Mascherano",142754
"192","W. Sneijder",139869
"193","Nani",139068
"194","D. De Rossi",53302
"195","José Reina",24630
"196","Quaresma",20775
"197","Y. Touré",20289
"198","Casillas",5479
"199","G. Donnarumma",230621
"200","L. Sané",222492
"201","T. Bakayoko",219809
"202","C. Tolisso",219683
"203","I. Slimani",217699
"204","N. Fekir",216594
"205","J. Seri",216451
"206","K. Baldé Diao",215785
"207","J. Tah",213331
"208","F. Bernardeschi",212404
"209","T. Werner",212188
"210","André Gomes",211575
"211","A. Martial",211300
"212","L. Goretzka",209658
"213","Q. Promes",208808
"214","Lucas Vázquez",208618
"215","Saúl",208421
"216","Felipe",207863
"217","C. Bacca",207664
"218","F. Vázquez",207471
"219","M. Kovačić",207410
"220","Sergio Rico",206652
"221","Manu Trigueros",206545
"222","A. Rüdiger",205452
"223","F. Thauvin",204970
"224","S. Savić",204639
"225","Iñigo Martínez",204525
"226","Roque Mesa",204277
"227","A. Florenzi",203551
"228","D. Klaassen",203483
"229","K. Bellarabi",202857
"230","R. Sterling",202652
"231","Suso",202651
"232","Deulofeu",202477
"233","E. Dier",202335
"234","M. Rojo",201862
"235","Lucas",200949
"236","H. Son",200104
"237","F. Acerbi",199845
"238","G. Xhaka",199503
"239","Jonathan Viera",198164
"240","Pizzi",197965
"241","Willian José",195093
"242","O. Baumann",193698
"243","G. Medel",193532
"244","Víctor Ruíz",193469
"245","X. Shaqiri",193348
"246","J. Cuadrado",193082
"247","C. Immobile",192387
"248","Douglas Costa",190483
"249","N. Clyne",190456
"250","Iborra",189560
"251","K. Trapp",188943
"252","V. Wanyama",188942
"253","Taison",188803
"254","Marlos",187754
"255","L. Stindl",187072
"256","M. Balotelli",186627
"257","A. Ramsey",186561
"258","W. Szczęsny",186153
"259","G. Sigurðsson",184484
"260","Y. Brahimi",184267
"261","M. Arnautović",184200
"262","J. Henderson",183711
"263","M. Kruse",183574
"264","O. Karnezis",183497
"265","L. Fejsa",183376
"266","F. Muslera",182494
"267","V. Ćorluka",181786
"268","G. Wijnaldum",181291
"269","F. Fazio",179847
"270","O. Giroud",178509
"271","B. Ivanović",178372
"272","J. Hernández",178224
"273","Beñat",177600
"274","L. Bender",177457
"275","A. Witsel",177413
"276","C. Bravo",174543
"277","A. Begović",172723
"278","Naldo",171919
"279","D. Sturridge",171833
"280","D. Rose",169595
"281","C. Vela",169416
"282","E. Viviano",168354
"283","G. Castro",167431
"284","S. Nasri",165239
"285","A. Williams",163824
"286","S. Mandanda",163705
"287","L. Baines",163631
"288","A. Consigli",163489
"289","João Moutinho",162347
"290","B. Costil",158121
"291","Raúl Albiol",157481
"292","J. Hart",150724
"293","M. Gómez",150418
"294","Raffael",144622
"295","A. Turan",143745
"296","Fernandinho",135507
"297","David Villa",113422
"298","S. Lichtsteiner",108080
"299","R. Jarstein",104389
"300","Gabriel Jesus",230666
"301","Nélson Semedo",227928
"302","Gelson Martins",227055
"303","Malcom",222737
"304","J. Weigl",222028
"305","D. Sánchez",220793
"306","A. Kramarić",216354
"307","M. Brozović",216352
"308","Williams",216201
"309","Dani García",216194
"310","A. Christensen",213661
"311","J. Kimmich",212622
"312","Bruma",211368
"313","D. Berardi",210935
"314","M. Sanson",210896
"315","A. Rabiot",210008
"316","R. Guerreiro",209889
"317","J. Vardy",208830
"318","H. Ziyech",208670
"319","M. Keane",207599
"320","Jorginho",205498
"321","Héctor Bellerín",203747
"322","J. Butland",203042
"323","S. Zaza",202685
"324","T. Meunier",202371
"325","Felipe Anderson",201995
"326","Rafinha",201400
"327","Nacho Fernández",200724
"328","J. Cillessen",199987
"329","Sergi Roberto",199564
"330","W. Ben Yedder",199451
"331","Lucas Pérez",199354
"332","R. Barkley",199189
"333","C. Bakambu",198951
"334","W. Zaha",198717
"335","Bartra",198141
"336","S. Aurier",197853
"337","S. Coates",197655
"338","G. Krychowiak",197242
"339","K. Kampl",195365
"340","D. Lovren",195086
"341","A. Yarmolenko",194794
"342","Y. Belhanda",193738
"343","Mário Fernandes",193525
"344","R. Rodríguez",193352
"345","J. Corona",193165
"346","Mario Gaspar",192789
"347","Marcos Alonso",192638
"348","M. Götze",192318
"349","L. Hrádecký",190941
"350","Illarramendi",190584
"351","De Marcos",190149
"352","C. Smalling",189881
"353","Iturraspe",189574
"354","J. Wilshere",189461
"355","S. Rudy",189251
"356","M. Lanzini",188988
"357","R. Boudebouz",188388
"358","Camacho",188005
"359","Paulinho",187961
"360","N. Kalinić",185431
"361","Giuliano",184942
"362","C. Benteke",184111
"363","D. Perotti",183900
"364","M. Parolo",183498
"365","K. Mitroglou",183483
"366","M. Sakho",183285
"367","A. Rami",183280
"368","S. Jovetić",181820
"369","S. Coleman",180216
"370","S. Kjær",179645
"371","Adán",178086
"372","M. Valbuena",177326
"373","S. Mignolet",173426
"374","D. Astori",173198
"375","K. Mirallas",172175
"376","Raúl García",171579
"377","M. Škrtel",166706
"378","T. Heaton",163264
"379","H. Ben Arfa",161648
"380","Dante",158625
"381","A. Gignac",153244
"382","Gabi",146954
"383","G. Rodríguez",142780
"384","D. Srna",139997
"385","B. Schweinsteiger",121944
"386","C. Carrasso",116494
"387","Moyá",110677
"388","W. Rooney",54050
"389","P. Mertesacker",53612
"390","T. Motta",49370
"391","Fernando Torres",49369
"392","S. Eto'o",9676
"393","M. Rashford",231677
"394","S. Milinković-Savić",223848
"395","Y. Tielemans",216393
"396","Jemerson",215792
"397","N. Bentaleb",213296
"398","Alisson",212831
"399","Alex Telles",212462
"400","J. Brandt",212194
"401","K. Demirbay",211748
"402","D. Rugani",211320
"403","Samu Castillejo",210617
"404","P. Zieliński",210406
"405","Ricardo Pereira",210243
"406","Grimaldo",210035
"407","Fred",209297
"408","J. Hector",208334
"409","E. Can",208333
"410","S. Kolašinac",207993
"411","Arrizabalaga",206585
"412","A. Pléa",206467
"413","T. Stepanenko",206413
"414","O. Shatov",206273
"415","Leo Baptistao",205976
"416","M. Nastasić",205362
"417","Denis Suárez",205192
"418","M. Batshuayi",204529
"419","J. Brooks",204082
"420","Eric Botteghin",203888
"421","L. Karius",203775
"422","T. Hazard",203486
"423","V. Germain",203280
"424","L. Kurzawa",201510
"425","J. Iličić",200647
"426","K. Volland",200610
"427","Allan",199914
"428","P. Hernández",199827
"429","D. Tadić",199434
"430","L. Muriel",199110
"431","Pablo Sarabia",198950
"432","A. Oxlade-Chamberlain",198784
"433","J. Guilavogui",198118
"434","O. Özyakup",196934
"435","Y. Rakitskyi",195861
"436","Sergi Enrich",194879
"437","Neto",194404
"438","Hugo Mallo",194229
"439","D. Didavi",193886
"440","R. Soriano",193361
"441","A. Schürrle",193130
"442","M. Gonalons",193116
"443","R. Pereyra",193061
"444","K. Vogt",192641
"445","F. Orellana",192492
"446","Maicon",191687
"447","E. Salvio",190972
"448","D. Blind",190815
"449","S. El Shaarawy",190813
"450","M. Antonio",190717
"451","Iago Falqué",190264
"452","S. Rondón",189250
"453","Daniel Carriço",189156
"454","M. Schmelzer",188802
"455","J. McCarthy",188253
"456","A. Dzagoev",187735
"457","Ganso",187688
"458","F. Smolov",187491
"459","D. Welbeck",186146
"460","Luiz Gustavo",185221
"461","Mikel San José",185132
"462","M. Darmian",184392
"463","R. Thomas",184190
"464","I. Traoré",183909
"465","Sidnei",182002
"466","J. Lens",178416
"467","Eder",178311
"468","Kiko Casilla",177644
"469","Nacho Monreal",177604
"470","S. Bender",177458
"471","M. Díaz",176930
"472","A. Fernández",176915
"473","M. Berg",176733
"474","I. Piatti",176376
"475","V. Birsa",176104
"476","Pedro León",175379
"477","K. Boateng",173909
"478","Marcano",173521
"479","H. Moreno",173432
"480","S. Romero",173373
"481","A. Candreva",173221
"482","D. Criscito",173208
"483","D. Wass",172522
"484","Coke",172316
"485","A. Guardado",171897
"486","J. dos Santos",170370
"487","E. Lamela",170368
"488","R. Bertrand",169705
"489","Renato Augusto",169195
"490","Jardel",168530
"491","V. Denisov",167553
"492","D. Basta",167514
"493","G. Cabral",165536
"494","G. Paletta",165526
"495","T. Walcott",164859
"496","L. Fabiański",164835
"497","B. Foster",163155
"498","V. Ibišević",162369
"499","K. El Ahmadi",162329
"500","S. Kalou",158232
"501","Manuel Fernandes",157960
"502","A. Granqvist",156713
"503","L. Podolski",150516
"504","Javi Fuego",146460
"505","F. Belluschi",143587
"506","A. Mirante",140293
"507","V. Enyeama",139968
"508","F. Marchetti",139668
"509","Kaká",138449
"510","J. Milner",138412
"511","A. Hutchinson",134744
"512","M. Topal",124635
"513","J. Mathieu",112316
"514","C. Kameni",111661
"515","P. Jagielka",53914
"516","P. Evra",52091
"517","J. Defoe",50542
"518","Júlio César",48717
"519","M. Carrick",21146
"520","M. Almirón",230977
"521","Oyarzabal",230142
"522","Soares",227476
"523","M. Campaña",225647
"524","F. Andone",225018
"525","M. Acuña",224334
"526","V. Lindelöf",221660
"527","Y. Cardinale",221130
"528","C. Lenglet",220440
"529","M. Dahoud",218339
"530","D. Zappacosta",216150
"531","N. Maksimović",215466
"532","E. Rigoni",215259
"533","I. Marcone",215057
"534","L. López",215051
"535","A. Correa",214997
"536","K. Coman",213345
"537","S. Kritsyuk",213150
"538","W. Cyprien",212886
"539","Diego Llorente",212602
"540","Anderson Talisca",212523
"541","L. Dendoncker",212501
"542","M. Meyer",212150
"543","Gayà",211688
"544","S. Boufal",211381
"545","M. Benassi",211354
"546","N. Tagliafico",211256
"547","E. Hysaj",210864
"548","João Cancelo",210514
"549","A. Romagnoli",210413
"550","Óliver Torres",208777
"551","H. Çalhanoğlu",208128
"552","Gerard Moreno",208093
"553","B. Traoré",207948
"554","L. Vietto",207441
"555","L. Paredes",207439
"556","M. Arnold",206511
"557","S. Gnabry",206113
"558","L. Shaw",205988
"559","E. Višća",205678
"560","Bernard",205525
"561","D. Baselli",205407
"562","A. Milik",205175
"563","Bernat",205069
"564","W. Orban",204638
"565","Rubén Pardo",204523
"566","K. Zouma",204311
"567","C. Kramer",204024
"568","S. Vrsaljko",203890
"569","Zé Luís",203757
"570","J. Stones",203574
"571","J. Vestergaard",202849
"572","Fernando",202642
"573","M. Depay",202556
"574","F. Fernández",201988
"575","S. Sané",201956
"576","N. Sansone",201858
"577","P. Ntep",201533
"578","F. Ghoulam",201454
"579","J. Murillo",201377
"580","Gabriel Paulista",201305
"581","V. Darida",201262
"582","Cédric",201118
"583","L. Tonelli",201049
"584","R. Saponara",201046
"585","D. Sidibé",201042
"586","Y. Konoplyanka",200641
"587","L. Digne",200458
"588","Paco Alcácer",200454
"589","Vicente Gómez",199977
"590","E. Çolak",199952
"591","N. Jørgensen",199852
"592","Oriol Romeu",199576
"593","Nolito",199561
"594","B. Martins Indi",199550
"595","M. Gabbiadini",198683
"596","P. Herrmann",198077
"597","F. Lejeune",197948
"598","J. Bruma",195363
"599","P. Jones",194957
"600","Adrián",194911
"601","Keko",194174
"602","H. Pérez",193887
"603","Jaume Costa",193171
"604","A. Areola",193105
"605","Escudero",192679
"606","Y. Mallı",192565
"607","A. Kokorin",192086
"608","S. Corchia",191210
"609","J. Kucka",190875
"610","J. Zoet",190778
"611","A. Ljajić",190544
"612","Canales",190286
"613","M. Hitz",190243
"614","Balenziaga",190223
"615","W. Bony",189963
"616","B. Hübner",189433
"617","F. Coquelin",189271
"618","Jonathas",189169
"619","G. Bou",188955
"620","V. Babacan",188524
"621","S. Doumbia",188428
"622","C. Noboa",187457
"623","I. Smolnikov",187347
"624","Maurício",187324
"625","M. Fabián",186307
"626","R. Zieler",186148
"627","D. Drinkwater",186132
"628","A. Kolarov",185103
"629","Mariano",184949
"630","S. Feghouli",184881
"631","K. Papadopoulos",184477
"632","S. Wagner",184069
"633","P. Piatti",183899
"634","C. Yacob",183893
"635","A. Ogbonna",183855
"636","Roberto",183666
"637","N. Amrabat",183108
"638","W. Vainqueur",181402
"639","Marcelo",180334
"640","Antunes",178424
"641","Fabricio",177723
"642","S. Prödl",177578
"643","S. Tasci",177519
"644","F. Johnson",177159
"645","Bojan",176993
"646","M. Fellaini",176944
"647","P. Wernbloom",176731
"648","A. Ayew",176571
"649","D. Ospina",176550
"650","W. Reid",176285
"651","Lucas Leiva",176266
"652","Z. Junuzović",173474
"653","C. Ansaldi",173306
"654","V. Moses",172962
"655","D. Zurutuza",172290
"656","D. Valeri",172114
"657","José Fonte",171791
"658","N. Şahin",170797
"659","Gervinho",170733
"660","G. dos Santos",170369
"661","R. Shawcross",169596
"662","J. Evans",169588
"663","S. Sirigu",168435
"664","A. Gyan",168320
"665","Y. Cabaye",167943
"666","Danilo",166072
"667","N. Pareja",165501
"668","S. Radu",165109
"669","D. Abraham",160741
"670","M. Krohn-Dehli",159240
"671","Jurado",159171
"672","B. Gomis",159145
"673","H. Herrera",156519
"674","Luisão",148711
"675","V. Berezutskiy",148122
"676","I. Akinfeev",148119
"677","I. Denisov",147782
"678","A. Samedov",147621
"679","Xabi Prieto",146482
"680","Negredo",146439
"681","A. Pyatov",142902
"682","P. Zabaleta",142784
"683","G. Ochoa",140233
"684","W. Caballero",139062
"685","Vágner Love",137809
"686","M. Vorm",137677
"687","D. Baier",137351
"688","Gomes",135451
"689","R. Adler",121933
"690","S. Sorrentino",49031
"691","T. Rosický",8473
"692","A. Pirlo",7763
"693","G. Barry",6826
"694","E. Belözoğlu",80
"695","A. Lunev",229909
"696","André Silva",228941
"697","K. Dolberg",228687
"698","Yeray",227950
"699","C. Pulisic",227796
"700","L. Tousart",227234
"701","A. Onana",226753
"702","V. Koziello",225199
"703","N. Radoja",225028
"704","V. Rongier",223874
"705","O. Al Soma",223627
"706","F. Cervi",223061
"707","Jorge Meré",223033
"708","Jony",222943
"709","R. Karsdorp",222558
"710","Dani Ceballos",222509
"711","H. Lozano",221992
"712","Raúl",221540
"713","Pau López",221087
"714","M. Vecino",219985
"715","A. Sanabria",219932
"716","R. Battaglia",219576
"717","J. Izquierdo",219411
"718","T. Bongonda",217877
"719","Rúben Semedo",216778
"720","Rafa",216547
"721","Morales",216475
"722","Capa",216189
"723","M. Sportiello",216065
"724","D. Zapata",215333
"725","D. Benedetto",215061
"726","A. Ruiz",213582
"727","D. Laxalt",213400
"728","D. Origi",213135
"729","N. Stark",212977
"730","Hernâni",212911
"731","Iuri Medeiros",212230
"732","Bruno Fernandes",212198
"733","R. Gagliardini",212153
"734","Pedro Santos",211119
"735","Carles Gil",210930
"736","Paulo Oliveira",210679
"737","A. Szymanowski",210333
"738","Bruno Peres",210282
"739","K. Wimmer",209997
"740","Tiago Volpi",209307
"741","F. Kostić",208574
"742","A. Samaris",208230
"743","A. Doucouré",208135
"744","G. Pizarro",207939
"745","J. Martínez",207877
"746","M. Ginter",207862
"747","J. Lingard",207494
"748","M. Weiser",206591
"749","D. Cheryshev",206225
"750","Bigas",206222
"751","D. Heintz",206198
"752","B. Davies",205923
"753","L. Castro",205633
"754","J. Ward-Prowse",205569
"755","T. Inui",205114
"756","M. Sabitzer",204923
"757","B. Mendy",204884
"758","R. Jiménez",204838
"759","E. Sala",204819
"760","B. Reynet",204240
"761","M. Niang",204077
"762","K. Fortounis",203980
"763","Pozuelo",203895
"764","Joãozinho",203627
"765","P. Kadeřábek",203605
"766","T. Vilhena",203535
"767","M. Elyounoussi",203362
"768","L. Bittencourt",203106
"769","Sergi Darder",202648
"770","D. Demme",202325
"771","V. Eysseric",201878
"772","G. Ramírez",201508
"773","David López",201505
"774","C. Tătăruşanu",201325
"775","M. Badelj",201144
"776","A. Mandi",201143
"777","Ismaily",201119
"778","A. Marchesín",201095
"779","L. Teodorczyk",201013
"780","Marafona",200798
"781","B. Lecomte",200726
"782","N. Chadli",200529
"783","S. Rode",200215
"784","M. van Ginkel",199767
"785","André André",199626
"786","J. Guidetti",199602
"787","Danilo",199304
"788","V. Aboubakar",199069
"789","C. Aránguiz",199042
"790","Raúl Navas",198614
"791","K. Mbodj",198584
"792","Rodrigo",198329
"793","R. Funes Mori",198140
"794","M. Höger",198113
"795","N. Lodeiro",197225
"796","D. Caligiuri",197083
"797","S. Verdi",196889
"798","E. Pérez",196432
"799","T. Gutiérrez",196150
"800","C. Austin",195671
"801","E. Berisha",189296
"802","G. Gillet",163186
"803","L. López",142707
"804","A. Townsend",194932
"805","D. Heintz",206198
"806","Pozuelo",203895
"807","T. Vermaelen",157304
"808","I. Abate",168312
"809","J. Briand",134779
"810","M. Sabitzer",204923
"811","Capa",216189
"812","J. Toulalan",112253
"813","Bruno Alves",138110
"814","T. Howard",16254
"815","M. Barovero",142721
"816","C. Aránguiz",199042
"817","V. Rongier",223874
"818","Joaquín",45186
"819","J. Lingard",207494
"820","S. Bocchetti",168326
"821","A. Marchesín",201095
"822","Muniain",189575
"823","Danilo",199304
"824","C. Gentner",158856
"825","O. Al Soma",223627
"826","F. Gago",165517
"827","Bigas",206222
"828","D. Origi",213135
"829","D. Cheryshev",206225
"830","R. van Persie",7826
"831","M. Layún",178322
"832","V. Eysseric",201878
"833","Sergi Darder",202648
"834","D. Laxalt",213400
"835","Tiago Volpi",209307
"836","Morales",216475
"837","V. Aboubakar",199069
"838","A. Szymanowski",210333
"839","N. Nkoulou",188829
"840","S. Ignashevich",112542
"841","Ismaily",201119
"842","Pau López",221087
"843","Rafinha",168607
"844","L. Tousart",227234
"845","J. Terry",13732
"846","P. Skjelbred",152996
"847","I. Afellay",158372
"848","N. Lombaerts",163492
"849","Granero",178085
"850","J. Baumgartlinger",189606
"851","R. Palacio",152999
"852","Miguel Lopes",188840
"853","Susaeta",189354
"854","Hilton",153260
"855","Y. M'Vila",187052
"856","Pedro Santos",211119
"857","Hernâni",212911
"858","V. Koziello",225199
"859","J. Guidetti",199602
"860","Borja Bastón",194996
"861","J. Farfán",158133
"862","J. Montero",186805
"863","A. Mandi",201143
"864","K. Mbodj",198584
"865","M. Badelj",201144
"866","R. Battaglia",219576
"867","M. Ruben",165560
"868","M. Borriello",123576
"869","Rodrigo",198329
"870","R. Gagliardini",212153
"871","Eliseu",2492
"872","F. Kostić",208574
"873","A. Onana",226753
"874","Mosquera",178625
"875","Rochina",188103
"876","André André",199626
"877","Rúben Semedo",216778
"878","B. Džemaili",138699
"879","K. Fortounis",203980
"880","S. Ryzhikov",147660
"881","A. N'Diaye",188879
"882","B. Reynet",204240
"883","Y. Gourcuff",153296
"884","K. Asamoah",186832
"885","R. Bobadilla",183249
"886","R. Hamouma",192722
"887","C. Pulisic",227796
"888","M. Fernández",174549
"889","K. Honda",186581
"890","Raúl Navas",198614
"891","A. Dzyuba",187607
"892","B. Yılmaz",124375
"893","J. Holebas",182744
"894","K. Casteels",192984
"895","Javi García",161754
"896","D. Caligiuri",197083
"897","Fontàs",192476
"898","K. Vermeer",169181
"899","Jony",222943
"900","C. Tosun",192991
"901","M. Höger",198113
"902","S. Dann",157665
"903","Rafa",216547
"904","Y. Bolasie",189157
"905","Bruno Fernandes",212198
"906","D. Glushakov",187366
"907","Juanfran",188135
"908","K. Trippier",186345
"909","J. Cork",169706
"910","Guilherme",180714
"911","A. Ramos",176619
"912","M. Bradley",155887
"913","Souza",189423
"914","T. Mangani",178160
"915","N. Stark",212977
"916","Rafael",189681
"917","Carles Gil",210930
"918","Adriano",164082
"919","B. Mee",189682
"920","M. Ginter",207862
"921","Paulo Oliveira",210679
"922","C. Dempsey",155897
"923","R. Funes Mori",198140
"924","M. Weiser",206591
"925","H. Briceldo",160000
"926","B. Moukandjo",185090
"927","Juanmi",197891
"928","L. Kalinić",220932
"929","N. Subotić",183556
"930","N. Blandi",200197
"931","P. De Blasis",210950
"932","M. Phillips",188166
"933","M. Braithwaite",193290
"934","A. Lafont",231691
"935","D. Reyes",192012
"936","Iván Ramis",146701
"937","V. Behrami",161805
"938","G. Hoarau",156432
"939","T. Barnetta",52752
"940","E. Choupo-Moting",183569
"941","Jesé",202515
"942","J. Pinola",146963
"943","Luís Hernández",205590
"944","Jonny",210455
"945","B. Dočkal",181271
"946","Raphaelito Anjos",230168
"947","M. Carcela-González",184089
"948","L. Pavoletti",205850
"949","D. Bonera",45595
"950","Marcelo",205340
"951","Dalbert",229148
"952","G. McAuley",109852
"953","A. Halilović",216349
"954","N. Amiri",225309
"955","I. Popov",185373
"956","N. Burdisso",139038
"957","W. Hoolahan",149791
"958","Sidney Pessinho",230431
"959","A. Potuk",194079
"960","F. Pogba",198688
"961","M. Andújar",173857
"962","D. Boyko",232226
"963","A. Carrillo",203299
"964","M. Andreolli",172835
"965","Bruno",200228
"966","O. Duarte",212772
"967","Rúben Neves",224293
"968","Jozabed",210214
"969","P. Pérez",215079
"970","Gazzolisco",230183
"971","Pacheco",209960
"972","M. Gamonales",160040
"973","Ronaldo Esler",230184
"974","Vitor Hugo",226601
"975","T. Arslan",190761
"976","J. Veretout",201519
"977","D. Pabón",196143
"978","Juan Jesus",200752
"979","E. Durm",207920
"980","G. Imbula",197681
"981","Luis Alberto",198706
"982","M. Risse",189234
"983","Luís Neto",204341
"984","B. Ruíz",176949
"985","Jordi Amat",198198
"986","S. Kapino",205878
"987","J. Ďurica",175671
"988","B. Stambouli",198200
"989","F. Armani",214584
"990","C. Kaboré",179768
"991","A. Rukavina",181816
"992","P. Kimpembe",225850
"993","Sergio León",198715
"994","M. Elneny",213051
"995","D. Torres",214332
"996","S. Okazaki",194365
"997","C. Jallet",150590
"998","Y. Salibur",190014
"999","N. Redmond",198719
"1000","A. Song",157503
"1001","Andreas Pereira",208450
"1002","Castán",172610
"1003","K. Huntelaar",148803
"1004","T. Partey",209989
"1005","Mário Rui",204614
"1006","André Pinto",193862
"1007","L. Rémy",179527
"1008","Badou Ndiaye",221000
"1009","O. Kıvrak",186953
"1010","A. Bertolacci",192073
"1011","A. Belenov",154954
"1012","A. Živković",220746
"1013","M. Lemina",212811
"1014","Iraizoz",114764
"1015","D. Da Silva",179789
"1016","D. Benaglio",115533
"1017","T. Rincón",191053
"1018","Y. Ōsako",191565
"1019","L. Sané",192333
"1020","Gil",193869
"1021","J. King",185422
"1022","Bastos",216655
"1023","J. Quintero",210513
"1024","A. Meier",121170
"1025","G. Nkoudou",219732
"1026","Montoya",194644
"1027","L. Dalsaro",160087
"1028","K. Källström",31831
"1029","T. Vaclík",204120
"1030","M. Politano",216409
"1031","M. Zárate",153177
"1032","G. İnler",158810
"1033","M. Albrighton",183130
"1034","A. Gray",194138
"1035","Marçal",207707
"1036","M. Ryan",199005
"1037","A. Gamberini",5213
"1038","Yoel",185181
"1039","S. Widmer",216158
"1040","J. Aquino",192350
"1041","S. Gentiletti",205408
"1042","C. Sánchez",182882
"1043","M. Sissoko",183394
"1044","G. Defrel",202851
"1045","T. Krul",170597
"1046","R. Martínez",142950
"1047","J. Geis",202087
"1048","P. Verhaegh",148839
"1049","B. Jones",165735
"1050","H. Nordtveit",182888
"1051","R. Steffen",210537
